Problem type:
least_squares
nparams:
8
function_evaluation,seconds,x(0),x(1),x(2),x(3),x(4),x(5),x(6),x(7)
  4648,  7.5492e+03, -6.0526762503538122e-03, -1.6321783378103706e-03,  5.2067093424358134e-02,  1.6285303139414731e-03, -1.0390525879394139e-03, -3.1043789208632282e-03,  3.8717750828554770e-01,  3.1563338871678261e-03
  4649,  7.5492e+03, -6.0526762503538122e-03, -1.6321783378103706e-03,  5.2067093424358134e-02,  1.6284303139414730e-03, -1.0389525879394138e-03, -3.1043789208632282e-03,  3.8717750828554770e-01,  3.1563338871678261e-03
  4650,  7.5492e+03, -6.0526762503538122e-03, -1.6321783378103706e-03,  5.2067093424358134e-02,  1.6284303139414730e-03, -1.0390525879394139e-03, -3.1042789208632284e-03,  3.8717750828554770e-01,  3.1563338871678261e-03
  4651,  7.5492e+03, -6.0526762503538122e-03, -1.6321783378103706e-03,  5.2067093424358134e-02,  1.6284303139414730e-03, -1.0390525879394139e-03, -3.1043789208632282e-03,  3.8717760828554770e-01,  3.1563338871678261e-03
  4652,  7.5492e+03, -6.0526762503538122e-03, -1.6321783378103706e-03,  5.2067093424358134e-02,  1.6284303139414730e-03, -1.0390525879394139e-03, -3.1043789208632282e-03,  3.8717750828554770e-01,  3.1564338871678259e-03
  4653,  7.5509e+03, -6.0974510713415458e-03, -1.6028283450853348e-03,  5.2054732513907062e-02,  1.6056886710453320e-03, -1.0521842371613345e-03, -3.1118077278315783e-03,  3.8730516073876792e-01,  3.1294406492038346e-03
  4654,  7.5509e+03, -6.0973510713415455e-03, -1.6028283450853348e-03,  5.2054732513907062e-02,  1.6056886710453320e-03, -1.0521842371613345e-03, -3.1118077278315783e-03,  3.8730516073876792e-01,  3.1294406492038346e-03
  4655,  7.5509e+03, -6.0974510713415458e-03, -1.6027283450853348e-03,  5.2054732513907062e-02,  1.6056886710453320e-03, -1.0521842371613345e-03, -3.1118077278315783e-03,  3.8730516073876792e-01,  3.1294406492038346e-03
  4656,  7.5509e+03, -6.0974510713415458e-03, -1.6028283450853348e-03,  5.2054832513907065e-02,  1.6056886710453320e-03, -1.0521842371613345e-03, -3.1118077278315783e-03,  3.8730516073876792e-01,  3.1294406492038346e-03
  4657,  7.5509e+03, -6.0974510713415458e-03, -1.6028283450853348e-03,  5.2054732513907062e-02,  1.6057886710453321e-03, -1.0521842371613345e-03, -3.1118077278315783e-03,  3.8730516073876792e-01,  3.1294406492038346e-03
  4658,  7.5509e+03, -6.0974510713415458e-03, -1.6028283450853348e-03,  5.2054732513907062e-02,  1.6056886710453320e-03, -1.0520842371613344e-03, -3.1118077278315783e-03,  3.8730516073876792e-01,  3.1294406492038346e-03
  4659,  7.5509e+03, -6.0974510713415458e-03, -1.6028283450853348e-03,  5.2054732513907062e-02,  1.6056886710453320e-03, -1.0521842371613345e-03, -3.1117077278315784e-03,  3.8730516073876792e-01,  3.1294406492038346e-03
  4660,  7.5509e+03, -6.0974510713415458e-03, -1.6028283450853348e-03,  5.2054732513907062e-02,  1.6056886710453320e-03, -1.0521842371613345e-03, -3.1118077278315783e-03,  3.8730526073876792e-01,  3.1294406492038346e-03
  4661,  7.5509e+03, -6.0974510713415458e-03, -1.6028283450853348e-03,  5.2054732513907062e-02,  1.6056886710453320e-03, -1.0521842371613345e-03, -3.1118077278315783e-03,  3.8730516073876792e-01,  3.1295406492038345e-03
  4662,  7.5526e+03, -6.1098214904991279e-03, -1.5496058783350175e-03,  5.2035816006369154e-02,  1.5553502782074363e-03, -1.0722907635212118e-03, -3.0867271248310466e-03,  3.8748613132634685e-01,  3.0901718228639134e-03
  4663,  7.5526e+03, -6.1097214904991277e-03, -1.5496058783350175e-03,  5.2035816006369154e-02,  1.5553502782074363e-03, -1.0722907635212118e-03, -3.0867271248310466e-03,  3.8748613132634685e-01,  3.0901718228639134e-03
  4664,  7.5526e+03, -6.1098214904991279e-03, -1.5495058783350174e-03,  5.2035816006369154e-02,  1.5553502782074363e-03, -1.0722907635212118e-03, -3.0867271248310466e-03,  3.8748613132634685e-01,  3.0901718228639134e-03
  4665,  7.5526e+03, -6.1098214904991279e-03, -1.5496058783350175e-03,  5.2035916006369157e-02,  1.5553502782074363e-03, -1.0722907635212118e-03, -3.0867271248310466e-03,  3.8748613132634685e-01,  3.0901718228639134e-03
  4666,  7.5526e+03, -6.1098214904991279e-03, -1.5496058783350175e-03,  5.2035816006369154e-02,  1.5554502782074364e-03, -1.0722907635212118e-03, -3.0867271248310466e-03,  3.8748613132634685e-01,  3.0901718228639134e-03
  4667,  7.5526e+03, -6.1098214904991279e-03, -1.5496058783350175e-03,  5.2035816006369154e-02,  1.5553502782074363e-03, -1.0721907635212117e-03, -3.0867271248310466e-03,  3.8748613132634685e-01,  3.0901718228639134e-03
  4668,  7.5526e+03, -6.1098214904991279e-03, -1.5496058783350175e-03,  5.2035816006369154e-02,  1.5553502782074363e-03, -1.0722907635212118e-03, -3.0866271248310467e-03,  3.8748613132634685e-01,  3.0901718228639134e-03
  4669,  7.5526e+03, -6.1098214904991279e-03, -1.5496058783350175e-03,  5.2035816006369154e-02,  1.5553502782074363e-03, -1.0722907635212118e-03, -3.0867271248310466e-03,  3.8748623132634685e-01,  3.0901718228639134e-03
  4670,  7.5526e+03, -6.1098214904991279e-03, -1.5496058783350175e-03,  5.2035816006369154e-02,  1.5553502782074363e-03, -1.0722907635212118e-03, -3.0867271248310466e-03,  3.8748613132634685e-01,  3.0902718228639132e-03
  4671,  7.5543e+03, -6.1005315632521396e-03, -1.5895748428233925e-03,  5.2050021909706437e-02,  1.5931533632312573e-03, -1.0571911808236901e-03, -3.1055621355301571e-03,  3.8735022618271048e-01,  3.1196618939055968e-03
  4672,  7.5543e+03, -6.1004315632521393e-03, -1.5895748428233925e-03,  5.2050021909706437e-02,  1.5931533632312573e-03, -1.0571911808236901e-03, -3.1055621355301571e-03,  3.8735022618271048e-01,  3.1196618939055968e-03
  4673,  7.5543e+03, -6.1005315632521396e-03, -1.5894748428233925e-03,  5.2050021909706437e-02,  1.5931533632312573e-03, -1.0571911808236901e-03, -3.1055621355301571e-03,  3.8735022618271048e-01,  3.1196618939055968e-03
  4674,  7.5543e+03, -6.1005315632521396e-03, -1.5895748428233925e-03,  5.2050121909706440e-02,  1.5931533632312573e-03, -1.0571911808236901e-03, -3.1055621355301571e-03,  3.8735022618271048e-01,  3.1196618939055968e-03
  4675,  7.5543e+03, -6.1005315632521396e-03, -1.5895748428233925e-03,  5.2050021909706437e-02,  1.5932533632312573e-03, -1.0571911808236901e-03, -3.1055621355301571e-03,  3.8735022618271048e-01,  3.1196618939055968e-03
  4676,  7.5543e+03, -6.1005315632521396e-03, -1.5895748428233925e-03,  5.2050021909706437e-02,  1.5931533632312573e-03, -1.0570911808236900e-03, -3.1055621355301571e-03,  3.8735022618271048e-01,  3.1196618939055968e-03
  4677,  7.5543e+03, -6.1005315632521396e-03, -1.5895748428233925e-03,  5.2050021909706437e-02,  1.5931533632312573e-03, -1.0571911808236901e-03, -3.1054621355301572e-03,  3.8735022618271048e-01,  3.1196618939055968e-03
  4678,  7.5543e+03, -6.1005315632521396e-03, -1.5895748428233925e-03,  5.2050021909706437e-02,  1.5931533632312573e-03, -1.0571911808236901e-03, -3.1055621355301571e-03,  3.8735032618271048e-01,  3.1196618939055968e-03
  4679,  7.5543e+03, -6.1005315632521396e-03, -1.5895748428233925e-03,  5.2050021909706437e-02,  1.5931533632312573e-03, -1.0571911808236901e-03, -3.1055621355301571e-03,  3.8735022618271048e-01,  3.1197618939055967e-03
  4680,  7.5560e+03, -6.1081689717338242e-03, -1.5817146936348250e-03,  5.2048067949444735e-02,  1.5860058563403946e-03, -1.0604036695349569e-03, -3.0999336538844692e-03,  3.8737203192892011e-01,  3.1139191649634380e-03
  4681,  7.5560e+03, -6.1080689717338240e-03, -1.5817146936348250e-03,  5.2048067949444735e-02,  1.5860058563403946e-03, -1.0604036695349569e-03, -3.0999336538844692e-03,  3.8737203192892011e-01,  3.1139191649634380e-03
  4682,  7.5560e+03, -6.1081689717338242e-03, -1.5816146936348250e-03,  5.2048067949444735e-02,  1.5860058563403946e-03, -1.0604036695349569e-03, -3.0999336538844692e-03,  3.8737203192892011e-01,  3.1139191649634380e-03
  4683,  7.5560e+03, -6.1081689717338242e-03, -1.5817146936348250e-03,  5.2048167949444737e-02,  1.5860058563403946e-03, -1.0604036695349569e-03, -3.0999336538844692e-03,  3.8737203192892011e-01,  3.1139191649634380e-03
  4684,  7.5560e+03, -6.1081689717338242e-03, -1.5817146936348250e-03,  5.2048067949444735e-02,  1.5861058563403946e-03, -1.0604036695349569e-03, -3.0999336538844692e-03,  3.8737203192892011e-01,  3.1139191649634380e-03
  4685,  7.5560e+03, -6.1081689717338242e-03, -1.5817146936348250e-03,  5.2048067949444735e-02,  1.5860058563403946e-03, -1.0603036695349568e-03, -3.0999336538844692e-03,  3.8737203192892011e-01,  3.1139191649634380e-03
  4686,  7.5560e+03, -6.1081689717338242e-03, -1.5817146936348250e-03,  5.2048067949444735e-02,  1.5860058563403946e-03, -1.0604036695349569e-03, -3.0998336538844693e-03,  3.8737203192892011e-01,  3.1139191649634380e-03
  4687,  7.5560e+03, -6.1081689717338242e-03, -1.5817146936348250e-03,  5.2048067949444735e-02,  1.5860058563403946e-03, -1.0604036695349569e-03, -3.0999336538844692e-03,  3.8737213192892012e-01,  3.1139191649634380e-03
  4688,  7.5560e+03, -6.1081689717338242e-03, -1.5817146936348250e-03,  5.2048067949444735e-02,  1.5860058563403946e-03, -1.0604036695349569e-03, -3.0999336538844692e-03,  3.8737203192892011e-01,  3.1140191649634379e-03
  4689,  7.5578e+03, -6.1138935648582683e-03, -1.5669651234598043e-03,  5.2047229843803215e-02,  1.5726659550617044e-03, -1.0637707992122505e-03, -3.0969097861080256e-03,  3.8739611374259864e-01,  3.1035654666969029e-03
  4690,  7.5578e+03, -6.1137935648582680e-03, -1.5669651234598043e-03,  5.2047229843803215e-02,  1.5726659550617044e-03, -1.0637707992122505e-03, -3.0969097861080256e-03,  3.8739611374259864e-01,  3.1035654666969029e-03
  4691,  7.5578e+03, -6.1138935648582683e-03, -1.5668651234598042e-03,  5.2047229843803215e-02,  1.5726659550617044e-03, -1.0637707992122505e-03, -3.0969097861080256e-03,  3.8739611374259864e-01,  3.1035654666969029e-03
  4692,  7.5578e+03, -6.1138935648582683e-03, -1.5669651234598043e-03,  5.2047329843803218e-02,  1.5726659550617044e-03, -1.0637707992122505e-03, -3.0969097861080256e-03,  3.8739611374259864e-01,  3.1035654666969029e-03
  4693,  7.5578e+03, -6.1138935648582683e-03, -1.5669651234598043e-03,  5.2047229843803215e-02,  1.5727659550617045e-03, -1.0637707992122505e-03, -3.0969097861080256e-03,  3.8739611374259864e-01,  3.1035654666969029e-03
  4694,  7.5578e+03, -6.1138935648582683e-03, -1.5669651234598043e-03,  5.2047229843803215e-02,  1.5726659550617044e-03, -1.0636707992122505e-03, -3.0969097861080256e-03,  3.8739611374259864e-01,  3.1035654666969029e-03
